Tweet Id,Username,Datetime,Text
1616222970145570817,johns2801,2023-01-19 23:55:58+00:00,@TimRunsHisMouth Remember when they were counting people in car accidents as vaccine damage victims? 😁
1616222966181683202,BionicOrgans,2023-01-19 23:55:57+00:00,@TheLeadCNN @jaketapper @ChloeMelas Baldwin is an ACTOR!! Why is he charged? I don’t understand. He’s not a gun expert.. that’s why there was an “armorer”. Real bullets on site are the root of the accident!
1616222950071451655,exodiaree,2023-01-19 23:55:53+00:00,Yeah lets k word everyone im road accident. Like its rule for kdrama writers that they must follow or they'll have to pay some kind of penalty 😭 #CrashCourseInRomanceEp2
1616222947177369601,CATBOYDEAREST,2023-01-19 23:55:53+00:00,"@SCHNEEBLYJUICE THIS IS SHITHEAD. that is his real name. he’s gay with bob and smooches him everyday and literally DEVOURS the food he makes (he knows it’s human meat, he doesn’t care LMAO) he’s soo silly 
also, his missing eye is totally not related to something bob did (ON ACCIDENT) https://t.co/S6YekyVfTd"
1616222933440991232,marlarson1,2023-01-19 23:55:49+00:00,Yo I had a patient today scream fuck you bitch to me in the drive thru at work just to speed off and get into a car accident immediately after… ☠️☠️
1616222917435756549,akaKaiser,2023-01-19 23:55:46+00:00,@iamoutofideas12 My PTSD is the result of a traffic accident. Hyper awareness keeps me alive.
1616222916277829634,0hItshalley_,2023-01-19 23:55:45+00:00,"like seriously, so what if i get into an accident that’s another write up too?? nah fuck outta my face"
1616222912679219202,TotalTrafficSEA,2023-01-19 23:55:45+00:00,"Blocked due to accident in #CrownHl on 85th St WB between 15th Ave and 16th Ave NW, stopped traffic back to 14th Ave NW. Reported by SDOT #traffic https://t.co/12UyGMOG9h"
1616222910594646016,TotalTrafficSEA,2023-01-19 23:55:44+00:00,"Accident in #CrownHill,Seattle on 15th Ave NW SB at NW 85th St, stopped traffic back to Holman Rd NW. Reported by SDOT #traffic https://t.co/12UyGMOG9h"
1616222909453713408,SouthernMissPD,2023-01-19 23:55:44+00:00,17:47: @SouthernMissPD has a report of MOTOR VEHICLE ACCIDENT at or near 4TH STREET. #SMTTT
1616222908614942723,TotalTrafficSEA,2023-01-19 23:55:44+00:00,"Closed due to accident in #Lynden on WA-539 SB between Main St and Birch Bay-Lynden Rd/Kok Rd, stopped traffic back to WA-546/Badger Rd. Reported by WSDOT #traffic https://t.co/12UyGMOG9h"
1616222908581388290,TotalTrafficPHL,2023-01-19 23:55:44+00:00,Accident. Traffic being directed around accident area in #LowerProvidence on South Park Ave NB/SB at Falcon Road. Reported by Montco CAD #traffic https://t.co/BtegSRlPfO
1616222908531048450,TotalTrafficDFW,2023-01-19 23:55:44+00:00,"Accident cleared in #Lewisville on 35E NB at Garden Rdg Blvd, stop and go traffic back to Valley Rdg Blvd. Reported by TXDOT #DFWTraffic https://t.co/4NzBppXRvr"
1616222907792777217,ExplorerImran,2023-01-19 23:55:43+00:00,"anton walkes boat crash accident
👇
https://t.co/54tg1neujs https://t.co/XBojQY1ryY"
1616222907398496257,TotalTrafficMKE,2023-01-19 23:55:43+00:00,"Accident. Left lane blocked in #BayVw on Hwy 794 (Lake Pkwy) SB at Oklahoma Ave, stopped traffic back to Carferry Dr #traffic https://t.co/nohdC1mdJZ"
1616222907281154049,TotalTrafficCHI,2023-01-19 23:55:43+00:00,Closed due to accident in #ElkGrvVlg on Lunt Ave EB from Busse Road to Nicholas Boulevard #CHITraffic https://t.co/GCesNZoWap
1616222907260100608,TotalTrafficSEA,2023-01-19 23:55:43+00:00,"Closed due to accident in #Lynden on WA-539 NB between Main St and WA-546/Badger Rd, stopped traffic back to Birch Bay-Lynden Rd/Kok Rd. Reported by WSDOT #traffic https://t.co/12UyGMOG9h"
1616222907176214529,TotalTrafficTUC,2023-01-19 23:55:43+00:00,Injury Accident in #Tucson on Speedway Blvd at Rosemont Blvd #traffic https://t.co/bc4TAizExm
1616222907151130627,TotalTrafficDFW,2023-01-19 23:55:43+00:00,"Accident. Off-ramp blocked in #Dallas on Dallas North Tollway SB at Northwest Highway, stop and go traffic back to Inwood Rd. Reported by NTTA #DFWTraffic https://t.co/4NzBppXRvr"
1616222888566353920,DanDaGuitRMan,2023-01-19 23:55:39+00:00,"@jimbaumann2 @FLulz13 @Raquel_Cruz623 @LemmingsRev @ewarren They want this though. The tighter the economic situation, the harder the poor are forced to bend the knee to capital owners in order to make ends meet, which makes for even more servile workers."
1616222828994662402,ringo_cynthia,2023-01-19 23:55:25+00:00,"@stuart1234saint @TRHLofficial I would be found at fault for accident.  In the circumstance described, I could then sue you for negligence maintenance.  But this is different.  One is a criminal offense (shooting) and the second would be a civil matter (car accident)."
1616222804273135617,TroII3r,2023-01-19 23:55:19+00:00,@D3V1LSCUNT You're still pressing retweet on accident
1616222796534669314,WazedNdConfused,2023-01-19 23:55:17+00:00,"TotalTrafficDFW: Accident. Two left lanes and TEXpress lane blocked. in #Irving on 183 WB at Esters Rd, stop and go traffic back to N Belt Line Rd. Reported by TXDOT #DFWTraffic https://t.co/MMbr9ctJqK"
1616222794680778754,WazedNdConfused,2023-01-19 23:55:16+00:00,TotalTrafficDFW: Accident.  TEXpress lane blocked. in #Irving on 183 WB at Esters Rd #DFWTraffic https://t.co/MMbr9ctJqK
1616222793028206593,WazedNdConfused,2023-01-19 23:55:16+00:00,"TotalTrafficDFW: Accident cleared in #FortWorth on 35W NB before Allen Ave, stop and go traffic back to Ripy St. Reported by Maps #DFWTraffic https://t.co/MMbr9ctJqK"
1616222785810075649,peloquin_eric,2023-01-19 23:55:14+00:00,@FoxNews 18 months for murder? That's it? I guess if you need to kill someone make it an accident.
1616222785805717506,QCTrafficAlerts,2023-01-19 23:55:14+00:00,REPORTED: ACCIDENT IN ROADWAY-PROPERTY DAMAGE at 5007 PROVIDENCE RD  #CLT #CMPD_Independence
1616222774535806977,BenjaminCopp,2023-01-19 23:55:12+00:00,"@GMG_GoonSquad @Keto_Goon following my YT comment about discovering (by accident) heli's can go in the water, someone said it has no use. But then I got this kill... https://t.co/Z7PUvg3pwl"
1616222773659193344,mpshield90,2023-01-19 23:55:11+00:00,"@AlexofAllGames Most involuntary manslaughter slaughter charges involve things like traffic accidents. Being reckless with a gun seems worse, but I get your point."
1616222770324508675,pIaneptune,2023-01-19 23:55:11+00:00,"it makes sitting hurt and introduces the possibility of flashing on accident, how anyone can think it's superior is beyond me"
1616222764893102080,Scootzzzzzx,2023-01-19 23:55:09+00:00,@MarzOMatic_ all my cool epic drawings are the result of cosmic radiation accidents
1616222760543596544,404Lewna,2023-01-19 23:55:08+00:00,"Woke up my dog rustina for this picture 

Flash was on so it blinded her by accident https://t.co/ODMzlj3JxH"
1616222734379261952,Kimba20897,2023-01-19 23:55:02+00:00,@CNN This was a terrible accident. The Media is just jumping on it because it is a High Profile case. He did nothing wrong.
1616222732848340994,megan_yaukey,2023-01-19 23:55:02+00:00,@XUrbanSimsX This was not an accident lmao
1616222722501279746,WhosAjaLuck,2023-01-19 23:54:59+00:00,@zilla162 @skulldoomed bro sent the wrong ss by accident 💀 https://t.co/VG3VLxEzwQ
1616222713277984769,_Shantel_W,2023-01-19 23:54:57+00:00,@adriennemccue @BACHAGALOOP_ @RealCandaceO He still killed someone even if it was an accident.
1616222707544199170,511dfw,2023-01-19 23:54:56+00:00,CLEARED - accident:I-30  westbound Cooks Ln/Exit 23 Fort Worth various Lns blocked
